root;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;mpm;event;worker;processCount;compressionLevel;threadCount;performance;energy
1;0;0;1;0;1;0;0;0;0;0;1;0;1;32;1;256;7.239000;216.000000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;64;1;256;7.828200;226.800000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;64;1;16;15.761000;520.600000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;32;1;32;14.719200;526.000000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;64;1;32;14.668000;509.000000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;16;1;64;6.442200;296.400000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;32;1;64;6.755600;337.800000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;64;1;64;6.688400;340.600000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;8;1;128;12.106600;481.200000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;16;1;128;14.729400;526.000000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;32;1;128;14.885400;520.000000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;64;1;128;12.283200;493.000000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;8;1;256;15.422800;560.200000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;16;1;256;16.738000;559.000000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;32;1;256;16.073200;542.000000
1;0;0;1;0;1;1;0;0;0;0;1;0;1;64;1;256;16.734800;556.400000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;64;1;16;3.301600;127.000000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;32;1;32;5.701000;173.200000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;64;1;32;4.332600;160.200000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;16;1;64;2.737000;111.400000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;32;1;64;2.788800;102.200000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;64;1;64;2.748800;98.200000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;8;1;128;2.753600;103.600000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;16;1;128;2.717200;76.600000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;32;1;128;2.688800;97.200000
